zip,latitude,longitude
43517,41.44003,-84.72833
43518,41.58977,-84.75385
43519,41.42092,-84.40854
43520,41.38008,-84.63565
43521,41.66377,-84.29717
43522,41.42058,-83.84352
43523,41.33875,-83.99865
43524,41.22839,-84.039
43525,41.46663,-83.70098
43526,41.31339,-84.73024
43527,41.25121,-84.1593
43528,41.62908,-83.74923
43529,41.18998,-83.78431
43530,41.32794,-84.28933
43531,41.63511,-84.4957
43532,41.45486,-83.97008
43533,41.69335,-84.07997
43534,41.35446,-83.92914
43535,41.30592,-84.02416
43536,41.31345,-84.634
43537,41.57433,-83.68542
43540,41.69545,-83.943
43541,41.30075,-83.82953
43542,41.56642,-83.76531
43543,41.60575,-84.6338
43545,41.39163,-84.12719
43547,41.49214,-83.87634
43548,41.18867,-84.17296
43549,41.37519,-84.51818
43551,41.52095,-83.57503
43553,41.53096,-84.22382
43554,41.66024,-84.56239
43555,41.43772,-84.25596
43556,41.30575,-84.56984
43557,41.48354,-84.39693
43558,41.5935,-83.8781
43560,41.70067,-83.73799
43565,41.42044,-83.74011
43566,41.49467,-83.75838
43567,41.57592,-84.15248
43569,41.3513,-83.78844
43570,41.58616,-84.44116
43571,41.51574,-83.81796
43604,41.65217,-83.53977
43605,41.64734,-83.50722
43606,41.67178,-83.61085
43607,41.64761,-83.60582
43608,41.68008,-83.53062
43609,41.62849,-83.57824
43610,41.67775,-83.5614
43611,41.70241,-83.49154
43612,41.70946,-83.54899
43613,41.70628,-83.60374
43614,41.60336,-83.62715
43615,41.65045,-83.67255
43616,41.65727,-83.40931
43617,41.66416,-83.72808
43619,41.60424,-83.47348
43620,41.66519,-83.5547
43623,41.70419,-83.65095
43701,39.95986,-81.99498
43711,39.84262,-81.57738
43713,39.98979,-81.17368
43716,39.83683,-81.00752
43717,39.78943,-81.5548
43718,40.00926,-81.00596
43719,39.98907,-81.07938
43720,39.79272,-81.86886
43721,39.94927,-82.26015
43722,39.91933,-81.52001
43723,39.96022,-81.5412
43724,39.73267,-81.5166
43725,40.03949,-81.59934
43727,39.8714,-81.79884
43728,39.49188,-81.89676
43730,39.6294,-82.09435
43731,39.72768,-82.0675
43732,39.84409,-81.65883
43733,39.92736,-81.53807
43734,39.88144,-81.90489
43735,39.85437,-82.11917
43739,39.90693,-82.29025
43740,39.9515,-82.21706
43746,39.97146,-82.17287
43747,39.85784,-81.12128
43748,39.69788,-82.30899
43749,40.15932,-81.56411
43750,39.99353,-81.50975
43754,39.75586,-81.24017
43755,40.0537,-81.43318
43756,39.68993,-81.79574
43758,39.62482,-81.9432
43759,40.06393,-81.06942
43760,39.8858,-82.19577
43761,39.66829,-82.14798
43762,40.03156,-81.74007
43764,39.71485,-82.19239
43766,39.59492,-82.2501
43767,40.00653,-81.80198
43768,40.03776,-81.44477
43771,39.83586,-81.94135
43772,39.88063,-81.52448
43773,39.98758,-81.29636
43777,39.81896,-82.08543
43778,40.01111,-81.37001
43779,39.81718,-81.42528
43780,39.92229,-81.44024
43782,39.62129,-82.2185
43783,39.80389,-82.28878
43786,39.71086,-81.27704
43787,39.53292,-81.80554
43788,39.80175,-81.3334
43791,39.87757,-82.08877
43793,39.74362,-81.10219
43802,40.09346,-81.85687
43804,40.4545,-81.73704
43805,40.39177,-81.97223
43811,40.18285,-81.93232
43812,40.27268,-81.88347
43821,40.13559,-82.00695
43822,40.17409,-82.16958
43824,40.36407,-81.76116
43830,40.06116,-82.14812
43832,40.27333,-81.57931
43836,40.2087,-81.71854
43837,40.29773,-81.47846
43840,40.40511,-81.60025
43842,40.13749,-82.01182
43843,40.33485,-82.17711
43844,40.33349,-82.05163
43845,40.25692,-81.73144
43901,40.21691,-80.86637
43902,39.88731,-80.95596
43903,40.47042,-80.95131
43905,40.11159,-80.8408
43906,40.0132,-80.80118
43907,40.25697,-81.0205
43908,40.50867,-80.87349
43909,40.06774,-80.81552
43910,40.37039,-80.8214
43912,40.08708,-80.79255
43913,40.27048,-80.63154
43914,39.77532,-80.95288
43915,39.75775,-80.89729
43917,40.22396,-80.80546
43920,40.67608,-80.57965
43925,40.44583,-80.86242
43926,40.51068,-80.62252
43928,40.01088,-80.88172
43930,40.56978,-80.77372
43931,39.67288,-80.87137
43932,40.53145,-80.74699
43933,39.93917,-80.89588
43934,40.0752,-80.79123
43935,40.1247,-80.75225
43938,40.30138,-80.67199
43939,40.16723,-80.79993
43940,40.02863,-80.82541
43942,39.86367,-80.84875
43943,40.2242,-80.73269
43944,40.43623,-80.76853
43945,40.63156,-80.84797
43946,39.64792,-80.96887
43947,39.95448,-80.78755
43948,40.26847,-80.78002
43950,40.09164,-80.92193
43951,40.11475,-81.01405
43952,40.39763,-80.66278
43953,40.35815,-80.70548
43961,40.52343,-80.63025
43962,40.67315,-80.88919
43963,40.17155,-80.69698
43964,40.48695,-80.66928
43967,40.02309,-80.94371
43968,40.63365,-80.68729
43971,40.15811,-80.71301
43972,40.10164,-80.9749
43973,40.19111,-81.27688
43974,40.18205,-80.88728
43976,40.36981,-80.90655
43977,40.14519,-81.10451
43981,40.18401,-80.99466
43983,40.13886,-81.20296
43985,40.16168,-81.13155
43986,40.3784,-80.99036
43988,40.40486,-81.09925
44001,41.36825,-82.25958
44003,41.6202,-80.58361
44004,41.85255,-80.78738
44010,41.76087,-80.85152
44011,41.44855,-82.0187
44012,41.49443,-82.01594
44017,41.36867,-81.86303
44021,41.44141,-81.14579
